,results
396,0.9465506
397,0.9641882
398,0.97755253
399,0.9415246
400,0.781517
401,0.8680128
402,0.86181843
403,0.764241
404,0.65901977
405,0.62215966
406,0.7057785
407,0.94018185
408,0.7478501
409,0.78208053
410,0.545934
411,0.1818924
412,0.7287838
413,0.1880058
414,0.3047065
415,0.08316305
416,0.30851477
417,0.1552386
418,0.045553654
419,0.17576143
420,0.0070650578
421,0.055073768
422,0.095095634
423,0.11279526
424,0.35628122
425,0.002509743
426,0.9931613
427,0.956416
428,0.89141625
429,0.9113847
430,0.90643895
431,0.9045927
432,0.94000226
433,0.7641453
434,0.29819202
435,0.6898048
436,0.42297947
437,0.8157291
438,0.26994145
439,0.6250046
440,0.04877293
441,0.07461414
442,0.16138595
443,0.27723998
444,0.43874618
445,0.14520931
446,0.21175009
447,0.0394246
448,0.4065317
449,0.14305761
450,0.007087618
451,0.03228551
452,0.16513509
453,0.2623685
454,0.060580432
455,0.7826377
456,0.01803729
457,0.54637957
458,0.6698129
459,0.612162
460,0.28229654
461,0.14693838
462,0.35839295
463,0.16199231
464,0.80065525
465,0.07009333
466,0.3612914
467,0.010075003
468,0.6029947
469,0.114239246
470,0.040597796
471,0.016069591
472,0.037875086
473,0.6026425
474,0.015401065
475,0.6830945
476,0.081421554
477,0.0043976605
478,0.0076924264
479,0.19146761
480,0.03548473
481,0.34115866
482,0.004060447
483,0.5037176
484,0.01473096
485,0.70663047
486,0.86800635
487,0.89224625
488,0.9811896
489,0.00033256412
490,0.99378884
491,0.72353774
492,0.9401672
493,0.6291176
494,0.88504124
495,0.19156516
496,0.86755574
497,0.7246801
498,0.07734054
499,0.53829134
500,0.21608296
501,0.5628571
502,0.021396846
503,0.07987672
504,0.38348323
505,0.05300218
506,0.20247456
507,0.5078822
508,0.4866158
509,0.124625474
510,0.16749689
511,0.010259926
512,0.014723122
513,0.2948305
514,0.18857253
515,0.12653127
516,0.21095657
517,0.030703485
518,0.7107184
519,0.28005528
520,0.060127825
521,0.8297724
522,0.7588234
523,0.08051771
524,0.05296293
525,0.099962205
526,0.2593965
527,0.098273486
528,0.08789104
529,0.066381425
530,0.05356863
531,0.030634463
532,0.07275313
533,0.036782473
534,0.012017101
535,0.024680942
536,0.013972044
537,0.13709578
538,0.27356488
539,0.12118167
540,0.19456646
541,0.024591953
542,0.0030438304
543,0.51386535
544,0.4292747
545,0.0006816387
546,0.0041487515
547,0.026340902
548,0.031770736
549,0.40147072
550,0.86436677
551,0.9813318
552,0.9919883
553,0.972991
554,0.99818474
555,0.6387805
556,0.02379623
557,0.5030344
558,0.3901765
559,0.35087562
560,0.41130212
561,0.41053843
562,0.7997832
563,0.87697124
564,0.13428158
565,0.14783439
566,0.43355757
567,0.0830445
568,0.8354835
569,0.07313922
570,0.41833836
571,0.035503805
572,0.011559844
573,0.0921413
574,0.12357262
575,0.7175647
576,0.056800783
577,0.06646323
578,0.015164524
579,0.02259931
580,0.50032884
581,0.012098819
582,0.2553286
583,0.0013797283
584,0.9173993
585,0.8551222
586,0.22312635
587,0.9837344
588,0.20304787
589,0.07420707
590,0.34098637
591,0.8928203
592,0.18684044
593,0.30488756
594,0.18435365
595,0.18560529
596,0.76536846
597,0.9358914
598,0.20312965
599,0.2511074
600,0.534389
601,0.020721436
602,0.0180175
603,0.076054424
604,0.49941057
605,0.03998074
606,0.31993854
607,0.09981364
608,0.13868639
609,0.013028681
610,0.46974868
611,0.312718
612,0.056684524
613,0.67122495
614,0.001445055
615,0.11309928
616,0.15224254
617,0.98767793
618,0.8902428
619,0.86627877
620,0.99767745
621,0.45096505
622,0.34245878
623,0.6032685
624,0.5376241
625,0.75504416
626,0.27519763
627,0.18153122
628,0.5454983
629,0.42499304
630,0.59985244
631,0.6867793
632,0.32907867
633,0.5849697
634,0.73071104
635,0.18344992
636,0.8890121
637,0.9095663
638,0.5137453
639,0.13612974
640,0.20833248
641,0.85055125
642,0.06407839
643,0.06261337
644,0.030736327
645,0.07311478
646,0.3048498
647,0.00068992376
648,0.9557553
649,0.038468838
650,0.15821466
651,0.782743
652,0.62246275
653,0.9970654
654,0.87309813
655,0.26894975
656,0.19922167
657,0.34979868
658,0.5965706
659,0.36949658
660,0.2213957
661,0.3063231
662,0.579605
663,0.4519144
664,0.8906287
665,0.42987627
666,0.14643434
667,0.5282984
668,0.09639609
