,results
385,0.9763658
386,0.0040513575
387,0.9999993
388,0.99520254
389,0.68812025
390,0.044131905
391,9.23574e-05
392,0.00052407384
393,0.32363492
394,0.015920341
395,1.0
396,0.0017673373
397,0.028297901
398,0.006113529
399,0.99999994
400,0.8581884
401,0.7326758
402,0.03967157
403,0.9999771
404,0.99810183
405,0.00031131506
406,0.024594367
407,0.0139504075
408,0.9335798
409,0.014705509
410,4.6521425e-05
411,1.0
412,0.004588604
413,0.14303356
414,0.017953306
415,0.9999076
416,0.99269307
417,0.0015790164
418,0.0047012866
419,0.01469475
420,0.9985218
421,0.010635018
422,0.00091034174
423,0.054857284
424,0.11616847
425,0.98335224
426,0.62472904
427,0.99841905
428,0.9427406
429,0.9999914
430,6.443262e-05
431,0.97096306
432,0.99981093
433,0.5415165
434,0.903335
435,0.01062119
436,0.9999805
437,0.00021249056
438,0.051362485
439,0.00021895766
440,2.104044e-05
441,0.9997175
442,0.4062671
443,0.9999999
444,0.0048535466
445,0.9804841
446,0.0002245307
447,0.9999552
448,0.28774625
449,0.99997914
450,0.999823
451,0.0005860925
452,0.032348275
453,0.061470896
454,0.39806968
455,0.01986447
456,0.99689984
457,0.9889339
458,0.2614591
459,0.28897795
460,0.71183276
461,0.07557893
462,0.99999434
463,0.99999964
464,0.99994814
465,0.9693403
466,0.8764384
467,0.9734724
468,0.012401819
469,0.19176713
470,0.99999976
471,0.000100046396
472,0.0015846491
473,0.00012028217
474,0.9996016
475,0.031041414
476,0.76691747
477,0.09230223
478,0.51726794
479,0.016861409
480,0.9999182
481,0.9999814
482,1.0
483,0.94411427
484,0.9593662
485,0.3721097
486,0.996734
487,0.9989583
488,0.9975172
489,0.9994664
490,0.99316823
491,0.99983525
492,0.0026751757
493,1.0
494,0.0011539757
495,0.99858534
496,0.7756671
497,0.9999998
498,0.9898579
499,0.0049987137
500,0.093049645
501,0.83474064
502,0.00056153536
503,0.999642
504,0.718952
505,0.9999922
506,0.023275465
507,8.046627e-07
508,0.9713526
509,0.5439465
510,0.99999946
511,0.9943868
512,0.99849045
513,0.64797366
514,0.4239302
515,0.92734396
516,1.0
517,0.96932554
518,0.99650466
519,0.00444898
520,0.34054142
521,0.5778985
522,0.97589004
523,0.69909227
524,0.7362307
525,0.000764519
526,0.9964951
527,0.9993394
528,0.002798915
529,0.00021535158
530,1.0
531,0.15976593
532,0.99938357
533,0.027913332
534,0.0007863343
535,0.030736208
536,0.23626548
537,0.9999999
538,0.0014891028
539,0.48609328
540,0.007417321
541,0.99994314
542,3.796816e-05
543,0.0144149065
544,0.44919252
545,0.0014851391
546,0.9999993
547,0.00018629432
548,0.9480511
549,0.9665245
550,0.22995842
551,0.065919966
552,0.8638595
553,0.003815174
554,0.04930052
555,0.94778275
556,0.05158049
557,0.011497349
558,0.96176225
559,0.78137124
560,0.07708463
561,0.00025895238
562,0.9993135
563,0.94498575
564,0.99744004
565,6.2584877e-07
566,0.9998486
567,8.08239e-05
568,0.52395606
569,5.465746e-05
570,0.99999857
571,0.00036409497
572,0.004896134
573,0.0042259395
574,0.4398797
575,0.22783977
576,0.99985576
577,0.99989796
578,0.9999609
579,3.20673e-05
580,0.8617358
581,0.03228244
582,0.9906672
583,0.00036889315
584,0.71954113
585,0.97779435
586,0.579255
587,0.8106637
588,0.7054599
589,0.59107745
590,0.046161562
591,0.97495836
592,0.99927163
593,0.0024626255
594,0.0002619624
595,0.18039203
596,0.94773686
597,1.2010336e-05
598,6.2584877e-07
599,0.00047248602
600,7.748604e-07
601,0.9965748
602,0.9999994
603,0.11792761
604,0.0018259585
605,0.007981598
606,0.34000444
607,0.014900804
608,0.9999789
609,0.90620697
610,0.9913056
611,0.36398655
612,0.5155412
613,0.7940705
614,5.3346157e-06
615,0.06181377
616,0.005824417
617,1.013279e-06
618,0.015405834
619,0.016468912
620,0.99991393
621,0.996546
622,0.8836684
623,0.0060786307
624,0.00010073185
625,0.9995294
626,0.98938894
627,0.9999999
628,0.034333795
629,0.45248294
630,0.11089507
631,0.84510255
632,0.18122643
633,0.9998323
634,0.07360947
635,0.99992764
636,0.24744368
637,0.9958373
638,0.006403208
639,0.99994195
640,0.00954628
641,0.9200777
642,0.14892972
643,0.9999989
644,0.63013524
645,0.9995928
646,0.0066593885
647,0.99864876
648,7.7188015e-06
649,0.99423814
650,0.0009123981
651,0.99998176
652,0.0001245141
653,0.9949589
654,0.21596965
655,0.9602115
656,0.9847741
657,0.123913735
658,0.05956781
659,0.00024744868
660,4.172325e-07
661,0.07568446
