round_epochs,val_loss,val_acc,loss,acc,first_layer,batch_size,epochs
160,0.14922693014937863,0.9645232815964523,0.15315598141682024,0.9686013326318235,128,64,160
320,0.255254019886057,0.9113082058413858,0.2502104568833062,0.927687915589671,256,512,320
40,0.5607414413450034,0.720620842572062,0.5601331722611591,0.7078972412335317,16,128,40
40,0.5840281594354667,0.7239467892837101,0.5737578217241449,0.7107516655912862,16,256,40
80,0.28369243902271973,0.9002217294900222,0.2777368574058522,0.9029495714393602,512,128,80
80,0.47565466423256697,0.8037694059560145,0.4598827270186594,0.8187440540198482,512,512,80
40,0.4924228386974123,0.7760532150776053,0.4930619139199479,0.7649857274245127,32,64,40
80,0.5264038236072481,0.7394678492239468,0.5168936141437853,0.7312083723542806,8,64,80
160,0.3478415606423651,0.8558758347896145,0.33947557193908545,0.8644148431767973,512,512,160
160,0.5573038635919998,0.7217294968945488,0.5513838607282666,0.7145575637708496,16,512,160
160,0.43444515100603887,0.8181818099878315,0.4225479190004768,0.8163653670550527,128,512,160
320,0.1484077358060824,0.9700665225475168,0.13990607262224838,0.972882968601332,256,256,320
10,0.8677407384183085,0.7195121951219512,0.8329250101925191,0.7017126545579404,8,128,10
20,0.5066620802667876,0.79490022172949,0.5014790238708002,0.7573739303281259,128,64,20
20,0.6293289362723441,0.7283813683791065,0.6302796070854739,0.7074215029898878,64,512,20
80,0.5199733845674807,0.7483370313358941,0.5175705690479188,0.7335870600563361,16,256,80
10,0.5969719704397501,0.7261640832588043,0.6127943103365622,0.7064700290546544,128,256,10
320,0.41188111848418835,0.8259423416099633,0.4022399510064656,0.8311132262367844,32,512,320
320,0.18665558430149393,0.9478935709020779,0.1795778183371084,0.9647954334881508,512,512,320
10,0.5720905459376502,0.7261640798226164,0.5792818751140054,0.7040913415227358,64,64,10
320,0.37916052242340376,0.8392461236987568,0.36860306122890546,0.8529971457457792,64,512,320
20,0.5972893075509504,0.7250554389805592,0.5913348363536977,0.7088487157358883,128,512,20
10,0.567508242743507,0.7305986696230599,0.5729444389338725,0.7069457654835042,256,128,10
20,0.8998295490334673,0.6840354768505646,0.7984985267401422,0.6817316836566726,8,256,20
320,0.08619813038709423,0.9878048780487805,0.0849313740428009,0.9885823028525436,256,128,320
320,0.35445279239815247,0.8481153010529056,0.3444761420918237,0.8596574689636448,16,256,320
10,0.6047509518800976,0.7250554323725056,0.5885610084211566,0.7055185542687362,64,128,10
40,0.5454703211255718,0.7416851441241685,0.5615061450072633,0.719314937813865,8,64,40
160,0.5167316273680812,0.7594235094053517,0.5039219578371855,0.7511893441062332,32,512,160
160,0.08421474525874312,0.9855875831485588,0.08889004678157938,0.9819219783870069,512,64,160
20,0.47313958512177223,0.8082039911308204,0.4621007250786735,0.7978116083326621,256,64,20
320,0.27830837590995755,0.8991130820399114,0.2716743003800299,0.8967649858980151,16,128,320
20,0.7174449461262401,0.698447901103026,0.6731807334892643,0.6926736447722656,8,512,20
20,0.6237426996231079,0.7184035459537463,0.624995559936019,0.7026641300244064,16,256,20
160,0.42575490223594886,0.8137472283813747,0.41864738353199327,0.8154138919855729,16,128,160
20,0.8016690714924933,0.6862527717507864,0.704242949878228,0.685537583480893,8,128,20
320,0.19142670701454062,0.9512195088910951,0.18274650247067525,0.9581351099867236,128,256,320
80,0.5240931565111334,0.7527716118850624,0.51336028874204,0.7450047579977651,128,512,80
40,0.5105513114886908,0.7915742781897077,0.5111661375306199,0.750237868072644,256,256,40
20,1.1204068967349778,0.4922394682457072,1.0661198343128164,0.4976213124680814,16,512,20
80,0.513939599504492,0.7516629711751663,0.5206973366403898,0.7297811608559511,8,128,80
320,0.12191628483010501,0.9789356984478935,0.11074740506999273,0.982397717027637,32,64,320
80,0.36791294918884987,0.848115300127778,0.3632558997078922,0.8525214089199433,512,256,80
