round_epochs,val_loss,val_acc,loss,acc,first_layer,second_layer,third_layer,batch_size,epochs
40,0.5181044457757024,0.7538802598638175,0.5399894714355469,0.7269267361579227,512,128,16,512,40
160,0.05361024057389363,0.9855875831485588,0.06297367946249206,0.9828734538534729,512,32,16,128,160
160,0.15948810433337007,0.9623059876213581,0.1543054951161685,0.9529019974165026,512,512,32,512,160
320,0.04489089839342164,0.9844789356984479,0.03869721864648766,0.9833491915299936,512,16,16,64,320
10,0.6195438056193011,0.7317073111259224,0.6449127596520334,0.6979067547337199,32,32,256,512,10
20,0.35869887415030577,0.8414634146341463,0.41491138075897516,0.8135109414496272,256,512,64,64,20
160,0.04803709091490626,0.983370288248337,0.042769414384261864,0.9833491915299936,64,128,256,64,160
40,0.23208871463978634,0.9512195121951219,0.26058936541586347,0.9110371076867878,256,512,8,64,40
10,0.585348538839632,0.7305986694908988,0.6124466900934388,0.6964795425548427,64,64,8,64,10
80,0.08185641203249108,0.9800443457658433,0.09446394966683083,0.9790675547098002,256,128,128,128,80
10,0.579558067007234,0.7305986694908988,0.606773113036133,0.6969552811954727,256,256,8,64,10
320,0.04816180946689487,0.9866962305986696,0.032861852380389495,0.9866793532807071,32,256,256,64,320
320,0.03834011791451543,0.9900221729490022,0.034894913218766595,0.9890580405290642,32,32,128,64,320
20,0.5825641432781177,0.7350332563837986,0.6115376743444594,0.7002854427760493,16,64,256,256,20
320,0.045091526801728884,0.991130820399113,0.05096187928849238,0.9866793532807071,512,16,8,128,320
20,0.5876649240168129,0.7317073240777077,0.6109454502501338,0.6983824925236652,128,64,256,512,20
320,0.039186990683580315,0.9889135254988913,0.03927608776472502,0.9909609895337773,32,8,64,128,320
10,0.5878580801370668,0.7305986694908988,0.6318360734961352,0.6955280687330339,128,512,128,128,10
160,0.4785335700950707,0.7771618688714478,0.5077544645850257,0.7573739293640166,8,8,32,512,160
40,0.29786952910428566,0.8725055432372506,0.3308660000364175,0.8558515697065475,8,8,64,64,40
320,0.06855274755053403,0.9844789356984479,0.07092736414026693,0.9804947668886774,16,512,8,64,320
320,0.04427307409682454,0.9855875831485588,0.04114137898481936,0.9871550903901046,512,16,32,128,320
320,0.03388272445574568,0.9866962305986696,0.028138269855508796,0.9885823028525436,64,32,32,64,320
160,0.05145903622231832,0.9778270509977827,0.055704517642675866,0.9800190300628415,16,128,512,64,160
80,0.14187699595999032,0.9700665188470067,0.15441550120186737,0.9519505234812692,64,8,16,64,80
160,0.075623198071631,0.980044348673387,0.07138175540005559,0.9757373935262097,256,16,256,256,160
320,0.03863973988265526,0.9889135254988913,0.03758287945182748,0.9904852521408183,128,8,16,64,320
80,0.07771486704735428,0.9767184035476718,0.08273044834666655,0.9681255946717412,512,256,512,128,80
160,0.03781102385016741,0.9900221729490022,0.04261282906928707,0.9862036158877481,128,512,16,64,160
10,0.6223639226012643,0.7317073240777077,0.6698297268430127,0.6969552811954727,64,512,256,512,10
80,0.5253540237832757,0.7705099836421383,0.5436161559156641,0.7345385343885558,64,64,32,512,80
80,0.1533704726500416,0.9700665187148456,0.17120182237009227,0.9395813504136482,16,8,256,128,80
80,0.2773112640809061,0.8991130820399114,0.298758266343036,0.8872502386059566,32,8,32,128,80
320,0.04926448598702308,0.9866962305986696,0.04491744834139277,0.9814462412776094,16,8,256,64,320
320,0.09237952655937084,0.9789356991086989,0.09294245353094405,0.9757373932426482,256,256,8,512,320
20,0.594489985453316,0.7317073240777077,0.6167303931134639,0.6969552804015002,16,64,16,512,20
320,0.040395828984066545,0.9855875831485588,0.04262968859959617,0.9823977164605138,256,64,512,64,320
320,0.054258866545366345,0.9844789356984479,0.03184931315029736,0.9904852521408183,128,64,16,128,320
10,0.5821153559864493,0.7317073168088486,0.6060913624817933,0.6969552802313633,512,64,256,256,10
160,0.05156945761400554,0.9855875831485588,0.056706349637455085,0.9804947674558007,32,16,64,64,160
80,0.5047556201528816,0.768292685966534,0.5178923783814986,0.7316841097472396,16,128,8,256,80
80,0.5135943185199391,0.7849223874096332,0.5406474337251157,0.7435775448547784,64,32,32,512,80
40,0.3223050687040828,0.8503325941028722,0.3154374166514962,0.8625118941720841,64,256,512,128,40
40,0.4167465193572964,0.8237250554323725,0.43332657481691705,0.8054234064498705,16,64,16,64,40
320,0.1724884827226863,0.9545454427831189,0.17130541933308774,0.9462416744821985,64,8,16,512,320
40,0.25481950338029546,0.9013303769401331,0.2764854391311941,0.8810656519303653,256,128,8,128,40
20,0.3706042592118426,0.8370288248337029,0.39782908269612705,0.8120837301214346,256,32,512,128,20
40,0.3060648184922212,0.8736141896300729,0.3241059273112739,0.8606089433525768,256,32,512,256,40
160,0.06492216754580812,0.9889135282742739,0.06941620169028455,0.9847764037088708,512,512,128,256,160
80,0.3284449700902148,0.8691796007547569,0.342153177544347,0.8506184582138606,16,8,32,128,80
160,0.08995114891333485,0.9778270528480377,0.087570276674943,0.9728829691684552,128,32,64,256,160
10,0.5682059034143477,0.7305986694908988,0.6042374267564514,0.6969552809119111,512,512,16,128,10
10,0.5190020027155358,0.7317073169410097,0.5624995541277666,0.6969552813088973,512,512,32,64,10
320,0.0389333925397856,0.9855875831485588,0.026712585010208706,0.9919124643196955,256,32,32,128,320
320,0.05880955744642112,0.984478937548703,0.043157283425841526,0.9881065651760228,128,8,128,256,320
160,0.16572634112544177,0.9567627375511796,0.1745973235646619,0.9405328266173743,256,128,64,512,160
80,0.08255732277957537,0.9855875831485588,0.09003107562363431,0.9681255949553028,256,128,16,64,80
160,0.13241354718044432,0.9689578671677413,0.12850844942309764,0.9619410081662868,64,16,64,256,160
160,0.31521671997205647,0.8791574182901573,0.32121606728329644,0.8696479547829088,16,64,256,512,160
160,0.3179809648023212,0.8725055333251699,0.32229618321249986,0.8634633686744407,32,16,64,512,160
160,0.38948711323368046,0.8458980070778113,0.40058518544931165,0.8239771646618502,8,8,128,256,160
160,0.08455199920087061,0.9645232815964523,0.08698202663240379,0.9452901994127189,128,512,16,128,160
40,0.2600458371731764,0.9079822616407982,0.30232573513980143,0.8753568028178701,256,128,64,128,40
320,0.07434091427902424,0.9900221729490022,0.06516799388841489,0.9852521413853915,16,16,32,128,320
20,0.40409514516129463,0.8337028824833703,0.4433486056429902,0.8001902943333482,512,32,128,128,20
20,0.5727251415902918,0.7350332592913422,0.6029872352684486,0.6983824933176377,16,32,64,128,20
160,0.04610768044801086,0.9866962305986696,0.04688863616107079,0.9843006660323501,64,128,32,64,160
40,0.19822811384059638,0.9412416851441242,0.23364695311159775,0.9148430068304605,512,8,512,128,40
10,0.5028414625814908,0.7527716184931161,0.5476920270103143,0.7102759270640808,512,16,32,64,10
160,0.18719806579951437,0.9290465630607436,0.19853648079734662,0.9086584198713076,8,512,16,128,160
80,0.40570141444449415,0.8215077561708353,0.4182838691517243,0.8001902954108822,8,512,16,256,80
320,0.03915661694833022,0.9866962305986696,0.04075462724676765,0.9843006660323501,512,128,512,64,320
80,0.10115593266229407,0.967849223946785,0.11094894795390564,0.960513796951519,64,32,512,128,80
10,0.5981609131438769,0.7305986766275968,0.6283992942915316,0.6950523307729516,32,256,16,512,10
80,0.07483360970273052,0.9822616407982262,0.09412629196294481,0.9705042822036598,64,256,64,64,80
20,0.5886813399532682,0.7317073111259224,0.6267608312852716,0.6974310184182948,128,256,64,512,20
160,0.07992590326163299,0.9844789356984479,0.08077008475670919,0.9795432914222115,32,256,64,128,160
10,0.5916590779821519,0.7317073169410097,0.6222326732271631,0.6950523307729516,16,32,128,128,10
80,0.34231816119867525,0.8536585364532048,0.36894410196425914,0.8301617504867568,8,32,128,128,80
320,0.04219196057422066,0.9889135254988913,0.03913644832655518,0.9895337773549001,256,8,8,128,320
80,0.1879648138539754,0.9512195120629608,0.20899553694093262,0.9291151277685483,128,16,32,128,80
160,0.3676198660798718,0.8381374767772903,0.38497389258939124,0.8325404381321001,8,32,256,512,160
20,0.577764499742546,0.7305986693587377,0.614220608596457,0.6974310185884318,16,256,256,256,20
10,0.580182584254546,0.7317073169410097,0.6059314735042379,0.6969552811954727,512,32,8,128,10
20,0.3286850762340816,0.8725055431050894,0.37223144895002797,0.8353948618093068,512,8,8,64,20
20,0.5703732845788521,0.7328159643911205,0.6070119687537712,0.6969552809119111,16,64,8,64,20
160,0.04596741834527373,0.9844789356984479,0.05727515252684549,0.9785918178839643,128,8,64,64,160
10,0.6379988519949817,0.7305986694908988,0.6493218933027433,0.6969552813088973,64,512,8,64,10
40,0.2981955712029252,0.88470066518847,0.33063693354517704,0.8591817311736996,8,512,32,64,40
160,0.06268172199009792,0.9811529933481153,0.06165136636494456,0.9757373935262097,256,8,128,128,160
40,0.580118071610013,0.7317073240777077,0.6046760665247488,0.6974310180213086,32,64,32,512,40
320,0.06291034986200988,0.9878048779166194,0.06824271249045201,0.9895337776384617,512,512,8,128,320
320,0.06460163598578679,0.9822616435736088,0.05700486440470284,0.9847764039924324,512,8,16,256,320
320,0.04411281348761592,0.9878048780487805,0.0407617767505369,0.9923882019962162,64,32,16,128,320
10,0.5998153292683435,0.7317073158837211,0.6293351479533964,0.6950523310565132,8,256,16,256,10
80,0.07101588081279377,0.9789356984478935,0.08657840662746628,0.9705042809559888,32,512,128,64,80
320,0.07845449080058846,0.9878048780487805,0.06586956743905932,0.9857278782112274,8,16,64,128,320
320,0.08217031275750264,0.980044348673387,0.06376965349977863,0.9857278782112274,16,512,8,256,320
10,0.6176328090764995,0.7305986694908988,0.6448688493469122,0.6969552801179387,8,16,8,128,10
160,0.05634741025033124,0.983370288248337,0.0475083139080813,0.9847764034253093,32,128,64,64,160
320,0.039104494280667104,0.9889135254988913,0.027062987590157253,0.9885823025689819,512,32,64,64,320
20,0.5875596793950794,0.7317073158837211,0.6138407929413212,0.6979067556978293,32,64,8,256,20
40,0.14373692017701142,0.9667405764966741,0.16786643335299758,0.94386298695028,128,8,64,64,40
20,0.598394767408096,0.7305986766275968,0.6206440704987233,0.6998097050995287,16,64,64,512,20
40,0.21017587806063057,0.9279379156106328,0.22535972406362828,0.9143672694375014,256,128,128,128,40
160,0.3835936396851508,0.8436807103273345,0.4044296272758299,0.8211227409846436,16,8,16,256,160
80,0.08763086752854535,0.983370288248337,0.11857730119739908,0.9671741192052752,128,256,16,64,80
80,0.504946883726543,0.7649667408408188,0.5272036574773852,0.7350142716680902,16,32,8,256,80
40,0.5782381049016627,0.7328159642589595,0.6037704840827056,0.6988582304837475,16,128,8,256,40
20,0.5835417596305289,0.7305986693587377,0.6153219382497496,0.6998097043055562,32,256,512,256,20
40,0.5759498170368423,0.7317073240777077,0.5983966628672621,0.6993339677632819,128,8,16,512,40
20,0.5287867934502942,0.7882483371609859,0.5507836121814121,0.7231208366739761,64,512,64,64,20
20,0.592579777251326,0.7328159643911205,0.6190673745495154,0.6974310187018564,16,64,64,128,20
40,0.35649169343802456,0.8569844788035373,0.38031720488441206,0.8320647004555793,16,128,16,64,40
10,0.5806837319799114,0.7317073158837211,0.6168802316476911,0.6974310180213086,64,64,256,256,10
10,0.6000814425971714,0.7317073239455466,0.6260377757896365,0.6969552811387604,8,16,128,512,10
80,0.43495385134035097,0.8159645156162542,0.47259472212714315,0.79448144686551,128,128,64,512,80
80,0.3382126773540302,0.8592017738359202,0.3577715125852942,0.8387250242405682,8,128,64,128,80
20,0.5647919919432663,0.7305986694908988,0.5923902043606643,0.6993339677632819,64,512,128,128,20
10,0.5857497283862594,0.7317073169410097,0.6223787737958891,0.6950523310565132,8,256,64,128,10
320,0.0435152095050743,0.983370288248337,0.03731706417338492,0.9857278782112274,512,16,128,128,320
80,0.4684902128914243,0.7317073158837211,0.49373625795916076,0.6979067560948155,16,256,8,256,80
20,0.5280242979923003,0.7350332592913422,0.56414113285199,0.7069457662774765,32,8,16,64,20
320,0.07223684213510374,0.9822616435736088,0.07249018734234157,0.9762131303520457,256,64,8,256,320
160,0.033266735066992216,0.9922394678492239,0.03546302002118271,0.9866793529971456,512,256,16,64,160
40,0.5663380875291423,0.733924605893983,0.5888976507477257,0.6998097049861041,128,32,32,512,40
160,0.13466946899626578,0.9645232699662777,0.1331540480695601,0.9567078968437369,128,64,512,512,160
20,0.3638902340918581,0.8458980044345898,0.40754778732808855,0.8182683154926427,128,128,64,64,20
80,0.06619040609777238,0.9800443458980045,0.08311208220930694,0.9724072314919345,128,32,256,64,80
10,0.6062222576458544,0.7317073240777077,0.6338822882477155,0.6969552806283495,8,128,32,512,10
10,0.5934133643321611,0.7305986766275968,0.617842453928021,0.6979067552441307,256,16,16,512,10
160,0.10227848069862093,0.9711751661649565,0.1084739437395907,0.9662226450999049,16,64,8,128,160
320,0.08528210272281503,0.9645232773672979,0.064937304634491,0.9671741192052752,64,512,16,256,320
10,0.6047128791819655,0.7305986766275968,0.6441266758457804,0.6960038064095545,256,128,32,512,10
80,0.1700025185232284,0.9534368070953437,0.1796975726745562,0.9338725025488239,16,256,128,128,80
40,0.536495562799754,0.7771618627920384,0.5472722135760691,0.7245480496468258,64,128,8,256,40
40,0.5808617238723518,0.7339246187136073,0.6125809848592125,0.6998097052696657,32,512,128,512,40
20,0.5596097216109215,0.7328159643911205,0.5736083689470953,0.704567079482818,16,64,16,64,20
160,0.07316175762340922,0.9745011086474501,0.05565545156059324,0.9804947668886774,64,128,512,128,160
20,0.5810872763064907,0.7317073169410097,0.6125298976104221,0.6988582308807336,8,8,512,128,20
320,0.07213919862543136,0.9833702891734646,0.06183535281699913,0.9862036158877481,128,16,16,256,320
40,0.11599157939555574,0.9634146341463414,0.13694695430097978,0.9443387253073484,256,128,256,64,40
20,0.5267059134273995,0.7339246118412314,0.5702528250603082,0.7098001897845463,64,64,128,128,20
10,0.588746024341118,0.7317073149585935,0.6318619000015658,0.6950523316236363,16,256,128,256,10
160,0.04144154713714202,0.9922394678492239,0.04892779037101171,0.9847764034253093,256,64,8,64,160
10,0.5366032084578157,0.7317073169410097,0.5822319226192362,0.7012369164844335,256,16,64,64,10
20,0.590224818221217,0.7317073240777077,0.6189097289127129,0.6979067556978293,64,128,16,512,20
20,0.5826734297820046,0.7328159585760332,0.6044046602625716,0.69838249337435,32,8,16,512,20
10,0.576924187248932,0.7317073112580834,0.6065994084845487,0.6979067558679662,512,16,32,512,10
320,0.030796097133085627,0.991130820266952,0.02450740254075611,0.9914367274938596,128,512,32,64,320
10,0.5967581379175715,0.7317073240777077,0.623236289033427,0.69838249337435,16,32,512,512,10
10,0.6108601189769821,0.7305986638079726,0.6341695487782799,0.6969552811954727,32,8,64,512,10
40,0.3929964440096244,0.8337028851265917,0.4459563072072564,0.8116079925583387,512,256,32,256,40
160,0.07063650466220871,0.9844789356984479,0.07716252375482718,0.976688868312128,64,128,32,128,160
80,0.07039468063086998,0.983370288248337,0.08161498621800874,0.9733587065614143,512,64,256,128,80
320,0.05312806802353679,0.9822616407982262,0.051537297837982055,0.9795432921027593,256,16,256,128,320
40,0.4992470466376937,0.7305986693587377,0.5259003844236216,0.6983824934877746,128,128,8,256,40
10,0.572654234067828,0.7317073169410097,0.5986036086626897,0.6979067547337199,512,256,32,128,10
160,0.22023434259674765,0.9412416740425938,0.22957948736357303,0.9248334912319165,256,16,16,512,160
20,0.5766112349778744,0.7305986694908988,0.6058905677609394,0.698858229519638,8,16,16,128,20
80,0.087709719286261,0.9767184034155107,0.10778126737313765,0.9624167452756843,64,32,64,64,80
80,0.1140741969968818,0.975609756097561,0.12805232831004912,0.9576593719132167,32,8,32,64,80
40,0.5222061639218003,0.7416851439920075,0.5467355819002545,0.7178877262021109,16,256,32,128,40
20,0.5015652898674265,0.7505543235928943,0.5367966090124295,0.7216936254592082,32,16,16,64,20
40,0.4805269734293817,0.7849223903171768,0.5221409001994655,0.7388201716057353,128,16,16,256,40
80,0.23692875528943513,0.9079822615086371,0.2514579129094288,0.8986679346191667,16,8,8,64,80
80,0.13724732698827255,0.9656319289144021,0.1411838293869534,0.9505233115859535,64,8,512,128,80
20,0.5891788819941078,0.7328159715278185,0.6228795208100701,0.6979067548471445,16,128,64,512,20
320,0.15602819135871007,0.9645232698341166,0.1855839322171361,0.9552806843812981,512,512,8,512,320
160,0.05332472187749827,0.9811529933481153,0.04905240527300127,0.9790675549933617,512,256,512,128,160
20,0.37409001859751617,0.8569844789356984,0.42940861156846544,0.810656518055982,512,8,16,64,20
20,0.3823981004252931,0.8348115299334812,0.40390278057298923,0.8220742145228908,512,16,8,64,20
160,0.17429400659981958,0.9578713935917603,0.18566139272062354,0.93862987562773,16,128,8,256,160
80,0.4370324690960463,0.8126385733980825,0.43284389810489543,0.7978116087296483,32,128,512,512,80
40,0.5620285351894911,0.7339246107839428,0.5843766174579551,0.6998097047025424,64,32,16,256,40
80,0.38904792671721683,0.8270510026726648,0.42957178175052385,0.7868696486915894,512,512,8,512,80
20,0.603701984670897,0.7317073112580834,0.6253753287467811,0.6969552811954727,16,16,64,512,20
160,0.05697404636181643,0.9855875831485588,0.05536901262135987,0.9785918176004027,128,8,32,64,160
80,0.3445016518400408,0.8625277123535816,0.35312035087173493,0.8430066607772,64,8,32,256,80
320,0.060208840341102784,0.9822616426484813,0.0513239384183109,0.9833491915299936,32,8,512,256,320
40,0.4469699044846114,0.8104212853702367,0.46201071452232456,0.7768791623619145,256,512,128,256,40
160,0.05344085745562999,0.9822616407982262,0.050991290711490285,0.978116079923882,128,64,64,64,160
80,0.39794384858296344,0.8292682926829268,0.41492341446037184,0.8092293058771048,8,64,16,128,80
20,0.5852149119662604,0.7305986766275968,0.6155133844556182,0.6993339671961587,64,128,64,512,20
10,0.5042698468575192,0.7926829268292683,0.5436558615696305,0.7297811607425265,512,64,32,64,10
10,0.5923401521737718,0.7328159715278185,0.6289684750373652,0.6969552811954727,32,32,512,512,10
80,0.08449555031476158,0.9745011086474501,0.0819993895167515,0.9743101807802094,128,512,256,128,80
80,0.08411453239735373,0.9778270509977827,0.0913806688306334,0.9681255949553028,32,512,64,64,80
20,0.5850810745602965,0.7305986694908988,0.6124731860877671,0.6969552813088973,8,512,16,64,20
40,0.0938860100844747,0.9722838137472284,0.12315470183695304,0.9562321601313256,512,512,256,64,40
40,0.39251306732319413,0.8392461197339246,0.3917716404407167,0.8230256893088089,32,32,16,64,40
320,0.056749370618167844,0.9811529961234978,0.04640601100408952,0.9804947674558007,128,16,512,256,320
80,0.5046756263582776,0.7605321444323216,0.5358791619567617,0.7359657462838715,16,512,64,512,80
80,0.4596843952085914,0.8070953402445216,0.4836502959907452,0.7730732641823512,8,128,256,256,80
320,0.052648267681873556,0.9855875840736863,0.050147840343805636,0.9843006665994734,64,256,32,256,320
40,0.16535196545845654,0.9578713968957872,0.20497370289406472,0.927687915589671,512,64,256,128,40
10,0.573325098353849,0.7328159642589595,0.6003580486967266,0.6979067550172815,256,16,32,256,10
80,0.2932006096892769,0.8880266074066416,0.3033723635235704,0.8748810658218972,16,32,128,128,80
20,0.5491466436312098,0.7328159642589595,0.5799655548512198,0.6974310185884318,128,32,512,256,20
160,0.05908314851494692,0.9778270509977827,0.05448687739393804,0.9766888677450047,128,128,256,64,160
160,0.055824096015181617,0.9878048780487805,0.06118515043826924,0.9814462422417188,64,64,32,64,160
20,0.5416377425986753,0.7372505512840203,0.5731012395855135,0.707421503557011,256,16,128,256,20
80,0.49624898520911614,0.7915742854585669,0.5076653182109575,0.7549952432499059,32,256,512,512,80
40,0.5302031112880241,0.7505543304652702,0.5652518410777955,0.71836346359507,512,512,32,512,40
40,0.2562817850556976,0.9113082038589697,0.26100948484141295,0.9010466221510853,64,128,64,64,40
20,0.4703513534528982,0.7893569844789357,0.5146656741878172,0.7526165556045626,256,16,8,128,20
160,0.032724988797551514,0.9922394678492239,0.03475014967480577,0.9871550906736662,256,512,64,64,160
80,0.05157942014711263,0.983370288248337,0.06141225725313122,0.9743101807802094,256,512,64,64,80
160,0.04204897096839025,0.9889135254988913,0.03814202902234247,0.9866793535642687,512,512,64,128,160
