round_epochs,val_loss,val_acc,loss,acc,first_layer,batch_size,epochs
10,0.6061520601587655,0.7261640799547775,0.6396036616515024,0.7021883923478857,8,128,10
40,0.24980597277306135,0.9279379157427938,0.2729085969369146,0.9200761179261612,128,16,40
20,0.4924100381043428,0.794900221597329,0.5196884793967548,0.7664129403973624,512,128,20
80,0.12644125892886038,0.9656319290465631,0.1304178030489741,0.9700285442435775,128,16,80
40,0.3401457453910633,0.8758314855875832,0.31566736918761545,0.8801141772578718,128,32,40
40,0.1595172021298477,0.958980044345898,0.19196596693094256,0.9490960989533778,256,8,40
80,0.10606809958873395,0.9789356984478935,0.12120966911098816,0.9700285441868652,32,8,80
160,0.07438506674384926,0.9811529933481153,0.0832813629378998,0.9828734538534729,128,16,160
160,0.0793219036061292,0.9811529933481153,0.07376789071882493,0.9823977164605138,256,16,160
40,0.35902331458887876,0.8702882483370288,0.36579818690424304,0.8677450043603877,512,64,40
80,0.23304560760701046,0.9301552106430155,0.23234542247996118,0.9262607040913415,16,16,80
320,0.09600135102504637,0.9767184035476718,0.08177559457003333,0.9857278782112274,256,128,320
40,0.5714001133542368,0.7217294898900118,0.572694983740969,0.704091340842188,16,128,40
20,0.4632869716361991,0.7960088690474398,0.462061928409718,0.7987630830618679,64,32,20
10,0.635844355147588,0.7328159646554426,0.6850956344354958,0.705042816308654,32,128,10
40,0.1754880217699016,0.9556541019955654,0.20883824331925155,0.9414843006660324,128,8,40
10,0.5478579131039706,0.7527716184931161,0.5728257822491349,0.7174119893195627,128,64,10
160,0.08767121164603138,0.9800443458980045,0.08608341263828677,0.9804947668886774,256,32,160
160,0.15322111495780838,0.9634146341463414,0.13680640249898557,0.967174119885823,8,16,160
160,0.11316249278392601,0.9733924611973392,0.12300003668050558,0.972407231208373,256,64,160
10,0.573615753862123,0.7339246121055535,0.5806191448480259,0.7117031400369305,32,32,10
20,0.41538110282891605,0.8614190687361419,0.419596379479264,0.8558515697065475,512,32,20
40,0.41171298560969316,0.8325942350332595,0.3953065557722587,0.8353948619227314,128,64,40
40,0.5048351289163407,0.7682926827946682,0.5079835603398215,0.7492863932867259,16,64,40
40,0.2904651342104385,0.8924611973392461,0.27514210550360857,0.8967649856711659,16,8,40
20,0.616052310509058,0.7294900223051101,0.603687340083517,0.7040913418062974,16,128,20
320,0.0846111857045252,0.9800443458980045,0.07958531719264703,0.9885823031361051,64,64,320
