-2%,-25%,-62%,-15%,-7%,-1%,-14%,-24%,-9%,1%,1%,13%,-1%,-2%,3%,5,4,-77%,-57%,31%,42.3,39.6,1.5,0.44095739,1
8%,-19%,-54%,-8%,1%,8%,-14%,-14%,-9%,13%,13%,13%,2%,2%,3%,5,5,-75%,-53%,34%,37.5,40.3,1.5,0.389624818,1
4%,-24%,-51%,0%,7%,5%,-14%,-15%,-9%,5%,19%,13%,4%,4%,1%,5,5,-75%,-54%,33%,38.7,40.9,1.5,0.397374392,1
24%,-14%,-39%,5%,7%,2%,-14%,-2%,-9%,3%,14%,12%,4%,2%,0%,6,5,-72%,-49%,37%,37.5,41.7,1.5,0.343368461,1
11%,-17%,-44%,9%,6%,5%,-14%,-1%,-9%,3%,13%,9%,3%,1%,0%,6,5,-72%,-48%,37%,27.7,41.3,1.5,0.342011988,0
15%,-5%,-42%,15%,6%,3%,0%,0%,0%,3%,12%,8%,4%,0%,2%,5,5,-78%,-48%,45%,20.7,40.9,1.1,0.313781027,1
6%,8%,-45%,18%,6%,3%,0%,0%,0%,5%,9%,12%,6%,2%,2%,5,5,-77%,-45%,48%,29.1,39.7,1.1,0.288228584,0
3%,2%,-47%,18%,5%,2%,0%,-2%,0%,5%,7%,13%,6%,2%,0%,5,5,-77%,-46%,47%,25.1,38.2,1.1,0.294951115,1
5%,8%,-41%,17%,5%,2%,0%,0%,0%,5%,10%,7%,5%,2%,1%,5,5,-77%,-44%,48%,30.5,36.9,1.1,0.284246966,0
4%,34%,-42%,14%,3%,0%,0%,0%,0%,4%,14%,12%,5%,1%,0%,5,5,-76%,-42%,50%,34.9,35.5,1.1,0.269781955,0
7%,39%,-43%,13%,3%,5%,0%,0%,0%,4%,28%,20%,5%,1%,3%,5,5,-75%,-41%,51%,39.4,34.3,1.1,0.266057153,1
-1%,32%,-43%,10%,2%,-5%,0%,-5%,0%,-3%,14%,19%,4%,1%,-3%,5,5,-76%,-43%,49%,42.6,34,1.1,0.279692495,1
2%,45%,-38%,5%,0%,2%,0%,0%,0%,1%,15%,13%,2%,0%,1%,6,6,-74%,-38%,53%,32.3,34.3,1.1,0.251533944,1
6%,31%,-41%,6%,1%,5%,0%,0%,0%,-1%,11%,12%,2%,0%,2%,6,6,-74%,-38%,53%,32.2,34.2,1.1,0.251056045,1
15%,44%,-42%,10%,5%,4%,0%,0%,0%,10%,15%,17%,3%,2%,2%,6,6,-72%,-34%,57%,29.1,32.8,1.1,0.229762845,1
8%,25%,-37%,12%,7%,4%,0%,0%,0%,5%,17%,17%,4%,2%,1%,6,6,-71%,-31%,59%,17.3,32.3,1.1,0.220763409,-1
12%,35%,-19%,14%,6%,3%,0%,0%,0%,7%,18%,17%,5%,2%,1%,7,7,-69%,-27%,63%,15,31.2,1.1,0.205326741,-1
6%,32%,-9%,14%,5%,1%,0%,-1%,0%,6%,17%,16%,5%,2%,-1%,7,7,-70%,-25%,75%,18.5,29.7,1.3,0.24743522,-1
-5%,10%,-28%,11%,2%,-2%,0%,-12%,0%,0%,12%,10%,4%,1%,2%,6,6,-72%,-32%,68%,24.8,29.1,1.3,0.278951622,0
-11%,14%,-25%,7%,-1%,-2%,0%,-8%,0%,4%,16%,16%,5%,1%,1%,6,6,-71%,-29%,71%,22.2,28.1,1.3,0.266789247,-1
-4%,19%,-17%,4%,-2%,3%,0%,-2%,0%,2%,14%,17%,4%,1%,0%,6,6,-70%,-26%,74%,23.3,27.5,1.3,0.251361378,-1
5%,11%,-16%,4%,1%,3%,0%,-3%,0%,5%,13%,16%,4%,1%,0%,6,6,-70%,-26%,73%,17.6,27.2,1.3,0.254320681,-1
-1%,3%,-21%,3%,1%,-3%,0%,-7%,0%,4%,14%,22%,3%,1%,1%,6,6,-71%,-28%,71%,23.3,27.4,1.3,0.263314268,-1
-7%,10%,-12%,-1%,-1%,-1%,0%,-4%,0%,2%,19%,23%,4%,1%,1%,6,6,-70%,-27%,73%,14.8,26.6,1.3,0.257096524,-1
-2%,0%,5%,-1%,-1%,1%,0%,-10%,0%,-2%,9%,26%,3%,1%,-1%,6,6,-72%,-30%,69%,23.6,26.4,1.3,0.272722002,-1
0%,-4%,4%,-2%,-1%,-2%,0%,-8%,0%,0%,15%,45%,1%,0%,-1%,6,6,-71%,-29%,71%,20.6,25.5,1.3,0.266967936,-1
-13%,-17%,-9%,-3%,-2%,-2%,0%,-17%,0%,-2%,8%,48%,1%,0%,1%,6,6,-74%,-35%,65%,17.9,24.5,1.3,0.295812618,0
-11%,-18%,-16%,-7%,-4%,-7%,0%,-18%,0%,1%,4%,40%,0%,0%,-3%,6,6,-74%,-35%,64%,28.9,23.7,1.3,0.300496001,1
-4%,-18%,-13%,-9%,-5%,3%,0%,-11%,0%,1%,6%,41%,-1%,-1%,2%,6,6,-72%,-31%,69%,20.6,22.4,1.3,0.276316804,0
6%,-16%,3%,-7%,-2%,1%,-14%,-11%,-16%,2%,4%,37%,0%,0%,1%,6,6,-71%,-35%,64%,30.7,22.8,1.2,0.252563809,1
10%,-4%,17%,-1%,3%,4%,-14%,-2%,-16%,10%,13%,39%,2%,2%,2%,7,6,-69%,-29%,69%,35.4,23.2,1.2,0.229479775,0
3%,-5%,13%,5%,7%,7%,-14%,0%,-16%,13%,16%,44%,5%,4%,5%,7,7,-67%,-26%,72%,17,23.1,1.2,0.216129354,0
7%,-8%,25%,13%,9%,5%,-14%,0%,-16%,16%,18%,49%,10%,6%,3%,7,7,-66%,-23%,76%,15.7,23.1,1.2,0.204934713,-1
3%,-6%,53%,16%,9%,3%,-14%,-1%,-16%,7%,16%,50%,12%,6%,2%,7,7,-66%,-23%,75%,15.4,23,1.2,0.207530509,0
3%,1%,58%,15%,5%,-1%,-14%,-1%,-16%,3%,15%,67%,10%,3%,-1%,7,7,-66%,-23%,75%,17.2,23,1.2,0.206691391,0
-3%,-5%,49%,10%,0%,-3%,-14%,-7%,-16%,-4%,11%,51%,7%,0%,-2%,7,7,-68%,-27%,71%,26.9,23.1,1.2,0.220302167,-1
2%,3%,64%,6%,-2%,0%,-14%,0%,-16%,0%,18%,48%,4%,-1%,0%,7,7,-66%,-22%,76%,24.8,23.3,1.2,0.203458238,0
3%,6%,39%,3%,-1%,0%,-14%,-10%,-16%,-11%,2%,30%,1%,-2%,-2%,7,6,-68%,-28%,70%,33.7,24.4,1.2,0.225339731,-1
1%,9%,35%,-2%,-2%,-7%,-14%,-16%,-16%,-9%,1%,25%,-4%,-3%,-4%,6,6,-70%,-33%,66%,41.5,25.3,1.2,0.243223837,-1
