,mean_fit_time,mean_score_time,mean_test_accuracy_score,mean_test_precision_score,mean_test_recall_score,mean_train_accuracy_score,mean_train_precision_score,mean_train_recall_score,param_max_depth,param_max_features,param_min_samples_split,param_n_estimators,params,rank_test_accuracy_score,rank_test_precision_score,rank_test_recall_score,split0_test_accuracy_score,split0_test_precision_score,split0_test_recall_score,split0_train_accuracy_score,split0_train_precision_score,split0_train_recall_score,split1_test_accuracy_score,split1_test_precision_score,split1_test_recall_score,split1_train_accuracy_score,split1_train_precision_score,split1_train_recall_score,split2_test_accuracy_score,split2_test_precision_score,split2_test_recall_score,split2_train_accuracy_score,split2_train_precision_score,split2_train_recall_score,split3_test_accuracy_score,split3_test_precision_score,split3_test_recall_score,split3_train_accuracy_score,split3_train_precision_score,split3_train_recall_score,split4_test_accuracy_score,split4_test_precision_score,split4_test_recall_score,split4_train_accuracy_score,split4_train_precision_score,split4_train_recall_score,split5_test_accuracy_score,split5_test_precision_score,split5_test_recall_score,split5_train_accuracy_score,split5_train_precision_score,split5_train_recall_score,split6_test_accuracy_score,split6_test_precision_score,split6_test_recall_score,split6_train_accuracy_score,split6_train_precision_score,split6_train_recall_score,split7_test_accuracy_score,split7_test_precision_score,split7_test_recall_score,split7_train_accuracy_score,split7_train_precision_score,split7_train_recall_score,split8_test_accuracy_score,split8_test_precision_score,split8_test_recall_score,split8_train_accuracy_score,split8_train_precision_score,split8_train_recall_score,split9_test_accuracy_score,split9_test_precision_score,split9_test_recall_score,split9_train_accuracy_score,split9_train_precision_score,split9_train_recall_score,std_fit_time,std_score_time,std_test_accuracy_score,std_test_precision_score,std_test_recall_score,std_train_accuracy_score,std_train_precision_score,std_train_recall_score
174,0.6468729019165039,0.4223706960678101,0.603881782090869,0.3564910061124614,0.12471098954973278,0.8520806241959743,0.9708161882353566,0.6083936788390065,15,3,20,200,"{'max_depth': 15, 'max_features': 3, 'min_samples_split': 20, 'n_estimators': 200}",198,277,142,0.6123348017621145,0.40625,0.15853658536585366,0.8553921568627451,0.9741935483870968,0.6154891304347826,0.6079295154185022,0.37037037037037035,0.12195121951219512,0.8446078431372549,0.9686800894854586,0.5883152173913043,0.5638766519823789,0.2571428571428571,0.10975609756097561,0.8514705882352941,0.9676025917926566,0.6086956521739131,0.6211453744493393,0.42857142857142855,0.14634146341463414,0.8446078431372549,0.9729119638826185,0.5855978260869565,0.5947136563876652,0.25,0.06097560975609756,0.8549019607843137,0.9761904761904762,0.6127717391304348,0.6211453744493393,0.43333333333333335,0.15853658536585366,0.8573529411764705,0.982646420824295,0.6154891304347826,0.5903083700440529,0.3225806451612903,0.12195121951219512,0.8563725490196078,0.9722814498933902,0.6195652173913043,0.5991189427312775,0.30434782608695654,0.08536585365853659,0.8514705882352941,0.9577167019027484,0.6154891304347826,0.6150442477876106,0.39285714285714285,0.13580246913580246,0.8539931406173444,0.960167714884696,0.621438263229308,0.6133333333333333,0.4,0.14814814814814814,0.8506366307541626,0.9757709251101322,0.6010854816824966,0.17534813581925712,0.08948798023386113,0.016708003609406014,0.06488204372396737,0.030470558140645438,0.0042815437771218144,0.007149889980689736,0.0120061010235379
175,1.6720134019851685,0.41907010078430174,0.6052051168945743,0.3710988540561655,0.13204192964343014,0.8540407601327441,0.9752086705767334,0.6109722508996519,15,3,20,400,"{'max_depth': 15, 'max_features': 3, 'min_samples_split': 20, 'n_estimators': 400}",195,205,137,0.6123348017621145,0.39285714285714285,0.13414634146341464,0.8647058823529412,0.9771784232365145,0.6399456521739131,0.6079295154185022,0.3793103448275862,0.13414634146341464,0.8436274509803922,0.9706546275395034,0.5842391304347826,0.5594713656387665,0.275,0.13414634146341464,0.8544117647058823,0.9761388286334056,0.6114130434782609,0.6299559471365639,0.46153846153846156,0.14634146341463414,0.8377450980392157,0.9698375870069605,0.5679347826086957,0.6079295154185022,0.3157894736842105,0.07317073170731707,0.8553921568627451,0.9762419006479481,0.6141304347826086,0.6167400881057269,0.4074074074074074,0.13414634146341464,0.8612745098039216,0.9850107066381156,0.625,0.6123348017621145,0.4117647058823529,0.17073170731707318,0.8549019607843137,0.9741379310344828,0.6141304347826086,0.5991189427312775,0.32,0.0975609756097561,0.8524509803921568,0.9718004338394793,0.6086956521739131,0.584070796460177,0.3142857142857143,0.13580246913580246,0.8633023027927487,0.975103734439834,0.6377204884667571,0.6222222222222222,0.43333333333333335,0.16049382716049382,0.8525954946131243,0.9759825327510917,0.6065128900949797,0.35357844363945407,0.10173568389558584,0.01930656530697658,0.058046926581083645,0.026832474081473236,0.007957107045982206,0.004060207835326554,0.020889707263078212
176,0.31187546253204346,0.4020551681518555,0.6179973533303926,0.3837245640376461,0.10269346383117314,0.7617013845086257,0.9282912871744304,0.3681064170255442,15,3,40,50,"{'max_depth': 15, 'max_features': 3, 'min_samples_split': 40, 'n_estimators': 50}",165,156,155,0.6343612334801763,0.47058823529411764,0.0975609756097561,0.7666666666666667,0.9577464788732394,0.3695652173913043,0.6123348017621145,0.375,0.10975609756097561,0.7612745098039215,0.9108910891089109,0.375,0.6123348017621145,0.38461538461538464,0.12195121951219512,0.7534313725490196,0.9205776173285198,0.34646739130434784,0.6211453744493393,0.4166666666666667,0.12195121951219512,0.7666666666666667,0.9333333333333333,0.3804347826086957,0.5991189427312775,0.2,0.036585365853658534,0.759313725490196,0.9152542372881356,0.36684782608695654,0.6343612334801763,0.4782608695652174,0.13414634146341464,0.7549019607843137,0.9154929577464789,0.3532608695652174,0.6167400881057269,0.391304347826087,0.10975609756097561,0.7651960784313725,0.9297658862876255,0.37771739130434784,0.6123348017621145,0.3333333333333333,0.07317073170731707,0.7607843137254902,0.9078947368421053,0.375,0.6061946902654868,0.3333333333333333,0.09876543209876543,0.7658010779029887,0.9480968858131488,0.37177747625508817,0.6311111111111111,0.45454545454545453,0.12345679012345678,0.7629774730656219,0.9438596491228071,0.3649932157394844,0.13781968812940718,0.06635666826919842,0.011447743780308361,0.0784709029080663,0.02748024949324614,0.004486716445046809,0.016253889958328722,0.01027093451601492
177,0.30357675552368163,0.35282278060913086,0.6206440229378033,0.3924260819411459,0.10028720735180689,0.7612121007638244,0.9324427781266964,0.36471391805793163,15,3,40,100,"{'max_depth': 15, 'max_features': 3, 'min_samples_split': 40, 'n_estimators': 100}",162,137,157,0.6255506607929515,0.42105263157894735,0.0975609756097561,0.7705882352941177,0.9437086092715232,0.38722826086956524,0.5991189427312775,0.2857142857142857,0.07317073170731707,0.7578431372549019,0.9143835616438356,0.36277173913043476,0.5903083700440529,0.23809523809523808,0.06097560975609756,0.7661764705882353,0.9331103678929766,0.37907608695652173,0.6211453744493393,0.4,0.0975609756097561,0.7647058823529411,0.9383561643835616,0.37228260869565216,0.6167400881057269,0.3333333333333333,0.06097560975609756,0.7578431372549019,0.9115646258503401,0.3641304347826087,0.6343612334801763,0.47619047619047616,0.12195121951219512,0.753921568627451,0.9431818181818182,0.3383152173913043,0.6167400881057269,0.4,0.12195121951219512,0.7681372549019608,0.9427609427609428,0.3804347826086957,0.6167400881057269,0.35294117647058826,0.07317073170731707,0.7558823529411764,0.9131944444444444,0.35733695652173914,0.6415929203539823,0.5,0.12345679012345678,0.7609015188633023,0.9399293286219081,0.36092265943012214,0.6444444444444445,0.5185185185185185,0.1728395061728395,0.7561214495592556,0.9442379182156134,0.344640434192673,0.08843081692427208,0.054310381320369076,0.016259389403622006,0.08694101111049689,0.03358834112324227,0.005504454812694943,0.013083688039902964,0.014799797479991952
178,0.5659991979599,0.4063668966293335,0.6254962505513895,0.41931808798776987,0.10149033559149001,0.7604767105293453,0.9400829145252809,0.35914197539968146,15,3,40,200,"{'max_depth': 15, 'max_features': 3, 'min_samples_split': 40, 'n_estimators': 200}",161,104,156,0.6255506607929515,0.42857142857142855,0.10975609756097561,0.7700980392156863,0.9525423728813559,0.38179347826086957,0.6123348017621145,0.3333333333333333,0.07317073170731707,0.7563725490196078,0.9377289377289377,0.34782608695652173,0.5991189427312775,0.3333333333333333,0.10975609756097561,0.7651960784313725,0.9385665529010239,0.3736413043478261,0.6387665198237885,0.5,0.12195121951219512,0.7563725490196078,0.9442379182156134,0.3451086956521739,0.6079295154185022,0.26666666666666666,0.04878048780487805,0.7612745098039215,0.9278350515463918,0.36684782608695654,0.6387665198237885,0.5,0.10975609756097561,0.7602941176470588,0.955719557195572,0.35190217391304346,0.6255506607929515,0.42857142857142855,0.10975609756097561,0.7578431372549019,0.9321428571428572,0.3546195652173913,0.6167400881057269,0.35294117647058826,0.07317073170731707,0.7573529411764706,0.9288256227758007,0.3546195652173913,0.6460176991150443,0.5294117647058824,0.1111111111111111,0.7648211660950515,0.9326599326599326,0.3758480325644505,0.6444444444444445,0.5217391304347826,0.14814814814814814,0.7551420176297747,0.9505703422053232,0.33921302578018997,0.1611763533767122,0.08085111447974748,0.015442634948588822,0.0884611698599632,0.027081141494819237,0.004617655162324663,0.009642174998210724,0.013701306582110292
179,1.4732004880905152,0.4734746694564819,0.6171151301279224,0.37075204960009966,0.09047801966526259,0.7599373508089636,0.9412897549384656,0.35696714058167656,15,3,40,400,"{'max_depth': 15, 'max_features': 3, 'min_samples_split': 40, 'n_estimators': 400}",166,207,160,0.6299559471365639,0.4583333333333333,0.13414634146341464,0.7686274509803922,0.952054794520548,0.37771739130434784,0.6035242290748899,0.25,0.04878048780487805,0.7568627450980392,0.9379562043795621,0.3491847826086957,0.5859030837004405,0.25,0.07317073170731707,0.7598039215686274,0.9300699300699301,0.36141304347826086,0.6343612334801763,0.47058823529411764,0.0975609756097561,0.759313725490196,0.9520295202952029,0.35054347826086957,0.6079295154185022,0.29411764705882354,0.06097560975609756,0.7583333333333333,0.9263157894736842,0.358695652173913,0.6299559471365639,0.45454545454545453,0.12195121951219512,0.7524509803921569,0.9391634980988594,0.33559782608695654,0.6123348017621145,0.36363636363636365,0.0975609756097561,0.7661764705882353,0.9512195121951219,0.37092391304347827,0.6079295154185022,0.29411764705882354,0.06097560975609756,0.7563725490196078,0.947565543071161,0.34375,0.6327433628318584,0.4444444444444444,0.09876543209876543,0.7648211660950515,0.9385665529010239,0.373134328358209,0.6266666666666667,0.42857142857142855,0.1111111111111111,0.7566111655239961,0.9379562043795621,0.3487109905020353,0.23539674025895446,0.10793444475826539,0.01521302279830293,0.08627637969334452,0.026975546474872804,0.004801520123495449,0.00868032407774894,0.01307986667590777
180,0.28543593883514407,0.44401183128356936,0.5862373180414645,0.37066429176539234,0.20173065574208157,0.9944124610236369,1.0,0.9845147410182289,15,5,2,50,"{'max_depth': 15, 'max_features': 5, 'min_samples_split': 2, 'n_estimators': 50}",257,208,36,0.5330396475770925,0.29310344827586204,0.2073170731707317,0.9941176470588236,1.0,0.9836956521739131,0.5903083700440529,0.36585365853658536,0.18292682926829268,0.9946078431372549,1.0,0.9850543478260869,0.5726872246696035,0.36363636363636365,0.24390243902439024,0.9926470588235294,1.0,0.9796195652173914,0.6211453744493393,0.4411764705882353,0.18292682926829268,0.9901960784313726,1.0,0.9728260869565217,0.6167400881057269,0.42857142857142855,0.18292682926829268,0.9936274509803922,1.0,0.9823369565217391,0.5903083700440529,0.37209302325581395,0.1951219512195122,0.9965686274509804,1.0,0.9904891304347826,0.5770925110132159,0.34782608695652173,0.1951219512195122,0.9970588235294118,1.0,0.9918478260869565,0.5859030837004405,0.3333333333333333,0.14634146341463414,0.9955882352941177,1.0,0.9877717391304348,0.5530973451327433,0.3,0.18518518518518517,0.9936305732484076,1.0,0.9823609226594301,0.6222222222222222,0.46153846153846156,0.2962962962962963,0.9960822722820764,1.0,0.989145183175034,0.1298991119258325,0.11460787405360878,0.027688500750505867,0.05433826456621462,0.03896435969354706,0.0019511588542715512,0.0,0.005407842800687201
181,0.36242644786834716,0.3759247064590454,0.5866784296426996,0.3733097601873212,0.20782917969845283,0.9975001920925232,1.0,0.9930717583033448,15,5,2,100,"{'max_depth': 15, 'max_features': 5, 'min_samples_split': 2, 'n_estimators': 100}",253,195,27,0.5286343612334802,0.29508196721311475,0.21951219512195122,0.9985294117647059,1.0,0.9959239130434783,0.6035242290748899,0.40476190476190477,0.2073170731707317,0.9955882352941177,1.0,0.9877717391304348,0.5594713656387665,0.3333333333333333,0.21951219512195122,0.9975490196078431,1.0,0.9932065217391305,0.5991189427312775,0.38461538461538464,0.18292682926829268,0.9950980392156863,1.0,0.9864130434782609,0.5770925110132159,0.3157894736842105,0.14634146341463414,0.9975490196078431,1.0,0.9932065217391305,0.6035242290748899,0.4090909090909091,0.21951219512195122,0.9985294117647059,1.0,0.9959239130434783,0.5991189427312775,0.40425531914893614,0.23170731707317074,0.9970588235294118,1.0,0.9918478260869565,0.6079295154185022,0.4146341463414634,0.2073170731707317,0.9980392156862745,1.0,0.9945652173913043,0.588495575221239,0.36363636363636365,0.19753086419753085,0.9980401763841255,1.0,0.994572591587517,0.6,0.40816326530612246,0.24691358024691357,0.9990205680705191,1.0,0.9972862957937585,0.0790299906335993,0.08038854567180911,0.023909568302512577,0.04172433041045312,0.02647643984732772,0.0012098657179684478,0.0,0.0033537715928233813
182,0.9178098678588867,0.5480838060379029,0.5827084252315836,0.3616486066287041,0.19313004211745788,0.9987256342537091,1.0,0.9964681287239691,15,5,2,200,"{'max_depth': 15, 'max_features': 5, 'min_samples_split': 2, 'n_estimators': 200}",282,254,57,0.4977973568281938,0.25,0.1951219512195122,0.9990196078431373,1.0,0.9972826086956522,0.6255506607929515,0.45714285714285713,0.1951219512195122,0.9975490196078431,1.0,0.9932065217391305,0.5726872246696035,0.3584905660377358,0.23170731707317074,1.0,1.0,1.0,0.6167400881057269,0.43243243243243246,0.1951219512195122,0.9950980392156863,1.0,0.9864130434782609,0.5726872246696035,0.2727272727272727,0.10975609756097561,0.9990196078431373,1.0,0.9972826086956522,0.5991189427312775,0.3953488372093023,0.2073170731707317,0.9990196078431373,1.0,0.9972826086956522,0.6079295154185022,0.42857142857142855,0.25609756097560976,1.0,1.0,1.0,0.5991189427312775,0.38461538461538464,0.18292682926829268,0.9995098039215686,1.0,0.998641304347826,0.5575221238938053,0.28888888888888886,0.16049382716049382,0.9990200881920627,1.0,0.9972862957937585,0.5777777777777777,0.34782608695652173,0.19753086419753085,0.9990205680705191,1.0,0.9972862957937585,0.27720456607952676,0.18439848790615163,0.035001294604282925,0.06795203476722322,0.03717458853248419,0.0013725799231861827,0.0,0.003804506127160687
183,2.1162810802459715,0.799013876914978,0.5840317600352889,0.3648080632605837,0.19438424154373388,0.9993137975190114,1.0,0.9980981947967672,15,5,2,400,"{'max_depth': 15, 'max_features': 5, 'min_samples_split': 2, 'n_estimators': 400}",271,240,51,0.5242290748898678,0.27586206896551724,0.1951219512195122,0.9995098039215686,1.0,0.998641304347826,0.6167400881057269,0.42857142857142855,0.18292682926829268,0.9980392156862745,1.0,0.9945652173913043,0.5682819383259912,0.35185185185185186,0.23170731707317074,0.9985294117647059,1.0,0.9959239130434783,0.6123348017621145,0.42105263157894735,0.1951219512195122,0.9990196078431373,1.0,0.9972826086956522,0.5991189427312775,0.3548387096774194,0.13414634146341464,0.9995098039215686,1.0,0.998641304347826,0.5859030837004405,0.375,0.21951219512195122,1.0,1.0,1.0,0.5903083700440529,0.3829787234042553,0.21951219512195122,1.0,1.0,1.0,0.5903083700440529,0.35135135135135137,0.15853658536585366,0.9995098039215686,1.0,0.998641304347826,0.5486725663716814,0.3018867924528302,0.19753086419753085,0.9995100440960314,1.0,0.9986431478968792,0.6044444444444445,0.40476190476190477,0.20987654320987653,0.9995102840352595,1.0,0.9986431478968792,0.33739810645560564,0.4141037844400744,0.0277004395866104,0.04644932217679924,0.028213709869924268,0.0005882593233184466,0.0,0.0016305578479959713
